timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307745.432,62.012,-12.207,-77.148,4.883,0.000
1605307745.436,76.172,-33.203,-83.496,1.953,0.000
1605307745.440,-62.988,-63.477,-104.980,-53.711,0.000
1605307745.444,-183.594,-68.359,-104.980,-90.820,0.000
1605307745.448,-133.789,-46.387,-82.031,-61.035,0.000
1605307745.452,35.156,-23.926,-65.430,5.371,0.000
1605307745.455,86.914,-24.414,-85.449,15.137,0.000
1605307745.459,-28.320,-34.180,-99.609,-29.297,0.000
1605307745.463,-121.582,-36.621,-63.477,-50.781,0.000
1605307745.467,-125.488,-57.617,-92.773,-50.293,0.000
1605307745.471,18.555,-7.812,-90.332,-5.859,0.000
1605307745.475,103.027,17.090,-74.219,20.020,0.000
1605307745.479,39.062,-34.180,-81.543,20.020,0.000
1605307745.483,-18.555,-14.648,-17.090,58.594,0.000
1605307745.487,-108.887,-2.441,-75.195,-27.344,0.000
1605307745.491,-5.371,10.742,-90.332,-17.578,0.000
1605307745.495,87.402,-1.465,-84.473,17.578,0.000
1605307745.498,-9.766,-45.898,-122.559,-34.180,0.000
1605307745.502,-150.879,-54.199,-141.602,-81.543,0.000
1605307745.506,-162.598,-29.297,-145.996,-65.918,0.000
1605307745.510,3.418,5.371,-127.441,3.418,0.000
1605307745.514,119.629,14.648,-123.047,32.715,0.000
1605307745.518,56.641,31.250,-104.980,21.973,0.000
1605307745.522,-108.398,-7.324,-129.395,-35.645,0.000
1605307745.526,-151.855,-47.852,-165.039,-57.617,0.000
1605307745.530,-5.371,-19.531,-125.488,4.395,0.000
1605307745.534,124.512,1.465,-115.234,50.781,0.000
1605307745.538,66.895,-8.789,-121.582,23.438,0.000
1605307745.541,-119.141,-51.270,-125.000,-61.035,0.000
1605307745.545,-175.293,-77.148,-122.559,-79.590,0.000
1605307745.549,-23.438,-27.832,-95.703,-20.508,0.000
1605307745.553,117.188,26.855,-99.121,41.992,0.000
1605307745.557,77.148,0.977,-114.258,30.762,0.000
1605307745.561,-91.309,-46.387,-120.117,-45.410,0.000
1605307745.565,-148.438,-39.551,-111.328,-55.664,0.000
1605307745.569,-42.969,-19.043,-102.051,-19.043,0.000
1605307745.573,118.164,12.695,-74.707,66.895,0.000
1605307745.577,158.691,17.090,-38.574,114.258,0.000
1605307745.580,-53.711,-54.199,-121.094,-14.160,0.000
1605307745.584,-174.805,-57.129,-155.273,-66.406,0.000
1605307745.588,-50.293,-14.648,-104.492,-9.277,0.000
1605307745.592,100.098,-13.184,-74.219,37.109,0.000
